epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1955.08,0.27273,0.38185,0.07114,0.16389,1.10879,0.99953,1,0.995,0.90876,0.99953,1,0.995,0.92527,0.38405,0.43166,0.09489,0.26466,0.66664,0.00034175,0.00034175,0.00034175
69,1983.32,0.27615,0.3562,0.07011,0.1625,1.10752,0.99913,1,0.995,0.91006,0.99913,1,0.995,0.94146,0.42219,0.42151,0.09571,0.30112,0.7108,0.000317,0.000317,0.000317
70,2011.76,0.27555,0.37464,0.07077,0.16348,1.10828,0.9994,1,0.995,0.90702,0.98328,0.98387,0.97927,0.92907,0.40518,0.45648,0.0943,0.28606,0.69205,0.00029225,0.00029225,0.00029225
71,2040.1,0.27087,0.34874,0.06917,0.16524,1.10282,0.99951,1,0.995,0.92002,0.99145,0.99194,0.99427,0.93266,0.41482,0.43446,0.09633,0.31897,0.70627,0.0002675,0.0002675,0.0002675
72,2068.63,0.26756,0.34805,0.06901,0.164,1.09975,0.99948,1,0.995,0.9241,0.99948,1,0.995,0.94254,0.41417,0.41642,0.09695,0.27719,0.71065,0.00024275,0.00024275,0.00024275
73,2097.13,0.26439,0.34582,0.07001,0.16123,1.09689,0.99953,1,0.995,0.91831,0.99146,0.99194,0.99323,0.93926,0.40605,0.42894,0.09668,0.29217,0.70344,0.000218,0.000218,0.000218
74,2125.68,0.25809,0.3262,0.06877,0.15832,1.09958,0.9995,1,0.995,0.92079,0.97532,0.97581,0.96807,0.92716,0.40067,0.44488,0.09572,0.29042,0.68903,0.00019325,0.00019325,0.00019325
75,2153.96,0.25812,0.31609,0.06969,0.16128,1.09374,0.99953,1,0.995,0.91891,0.99953,1,0.995,0.94784,0.39912,0.40756,0.0966,0.27196,0.68714,0.0001685,0.0001685,0.0001685
76,2182.18,0.25493,0.31452,0.07122,0.15582,1.0979,0.99955,1,0.995,0.92258,0.99955,1,0.995,0.94379,0.38244,0.39604,0.09696,0.26515,0.67752,0.00014375,0.00014375,0.00014375
77,2210.75,0.25222,0.30422,0.06814,0.15449,1.09139,0.99953,1,0.995,0.92379,0.99147,0.99194,0.99347,0.95286,0.38076,0.37704,0.09551,0.2689,0.66673,0.000119,0.000119,0.000119
78,2238.9,0.23798,0.30025,0.06725,0.14973,1.07491,0.99952,1,0.995,0.91886,0.99146,0.99194,0.99371,0.94649,0.37902,0.38792,0.09639,0.26048,0.66794,9.425e-05,9.425e-05,9.425e-05
79,2267.2,0.23979,0.29523,0.07014,0.15274,1.06938,0.99952,1,0.995,0.92763,0.99146,0.99194,0.99427,0.94275,0.36182,0.37412,0.09544,0.25265,0.65799,6.95e-05,6.95e-05,6.95e-05
80,2295.59,0.23366,0.29897,0.07163,0.15172,1.07838,0.99954,1,0.995,0.92362,0.99147,0.99194,0.99371,0.94683,0.3685,0.37807,0.09569,0.26106,0.6626,4.475e-05,4.475e-05,4.475e-05
